car_title,장점,단점,개선점
현대 그랜저 3.5 가솔린 AWD,"뛰어난 주행 성능을 제공합니다" "넉넉한 거주 공간이 확보되어 있습니다" "동급 차량 대비 정숙성이 우수합니다" "고속 주행 시 안정감이 뛰어납니다" "각종 편의 및 안전 사양이 수준급입니다" "승차감이 편안하고 안락합니다" "언덕길이나 장거리 주행에 용이합니다" "고속도로 주행 보조 기능이 탁월합니다" "차량의 전반적인 편의 장비가 만족스럽습니다" "가족들과 함께 타기에 매우 좋습니다","전면 디자인이 다소 투박하게 느껴질 수 있습니다" "순간 가속력이 부족할 때가 있습니다" "길어진 차체로 인해 날렵한 거동성은 아쉽습니다" "브레이크 성능이 다소 밀리는 듯한 느낌을 줍니다" "시내 연비가 다소 떨어지는 편입니다" "가성비가 다소 떨어진다고 느껴질 수 있습니다" "스포츠카와 같은 날렵함은 기대하기 어렵습니다" "일부 노면에서 진동이 느껴질 수 있습니다" "나이드신 분들에게는 기능 사용이 어려울 수 있습니다" "실내 디자인이 다소 무난하게 느껴질 수 있습니다","전면 디자인을 더욱 세련되게 개선하면 좋겠습니다" "순간 가속력을 보완하여 더욱 다이나믹한 주행감을 제공하면 좋겠습니다" "브레이크 성능을 향상시켜 안전성을 높이면 좋겠습니다" "연비를 개선하여 경제성을 높이면 좋겠습니다" "전자 장비 사용 편의성을 높이면 좋겠습니다" "계기판 디자인을 업데이트하면 좋겠습니다" "자잘한 결함들을 OTA 업데이트로 개선하면 좋겠습니다" "서스펜션 세팅을 보완하여 승차감을 더욱 향상시키면 좋겠습니다" "실내 디자인에 고급스러움을 더하면 좋겠습니다" "주차 편의 기능을 더욱 발전시키면 좋겠습니다"
현대 그랜저 하이브리드 1.6 HEV,"디자인이 마음에 듭니다" "내부 인테리어나 공간감이 확실히 좋습니다" "준대형 치고 상당한 연비를 보여줍니다" "주행 시 너무 편안하고 안정감이 느껴집니다" "하이브리드라고 딱히 힘이 딸린다는 느낌을 받지 못했습니다" "편안함 정숙성 연비 모두 만족스럽습니다" "주행 소음 연비 음악 거주성 등 모두 만족합니다" "내장재가 고급스럽고 특히 거주성이 뛰어납니다" "중장거리는 연비가 좋습니다" "승차감이 너무 좋습니다","가격이 비쌉니다" "차 키가 허접하고 가볍게 느껴집니다" "연료통이 50리터로 너무 작습니다" "시동 시 엔진 부밍음이 너무 큽니다" "가격대비 초기 불량이 많았던 편입니다" "아직 간간히 무상수리가 뜨는 것은 아쉬움이 있습니다" "그랜저 블랙잉크가 G80 기본가랑 거의 가격이 붙어있어 아쉽습니다" "하이브리드인데 시내 연비가 기대보다 낮습니다" "통풍시트 문제가 조금 있습니다" "통풍시트 바람이 약합니다","차 키 디자인과 무게감을 개선해야 합니다" "연료 탱크 용량을 늘려야 합니다" "시동 시 엔진 부밍음을 줄여야 합니다" "초기 품질 관리를 강화해야 합니다" "무상수리 문제를 최소화해야 합니다" "가격 정책을 재검토해야 합니다" "하이브리드 시스템의 시내 연비 효율을 개선해야 합니다" "통풍 시트 성능을 향상시켜야 합니다" "RR Door 열고 닫을 때의 불편함을 개선해야 합니다" "차량 가격을 낮춰 가성비를 높여야 합니다"
현대 더 뉴 그랜저 IG 2.5 가솔린,"고급스러운 외관 디자인이 만족스럽습니다" "전체적으로 차가 잘 빠진 느낌입니다" "안전성 편의성 소음 운행 느낌 등에서 만족합니다" "실내 디자인이 고급스럽고 넓습니다" "승차감이 좋습니다" "주행 성능이 좋습니다" "코너링이 편안합니다" "장거리 주행에도 피로감이 적습니다" "안전성과 주행이 좋습니다" "소음이 적어 대체로 만족합니다","연비가 아쉽습니다" "앞 부분의 그릴 부분이 과장되었습니다" "오르막길에 엔진 소음이 발생합니다" "시내 주행 시 연비가 좋지 않습니다" "생각보다 유류비가 비싸 당황스럽습니다" "엔진 오일 감소가 발생합니다" "미션이 굼뜬 느낌이 있습니다" "급가속 시 알피엠만 상승하고 허당입니다" "컵홀더가 너무 작아 불편합니다" "가격이 비쌉니다","연비 개선이 필요합니다" "전면 그릴 디자인을 개선하면 좋겠습니다" "오르막길 엔진 소음을 줄이면 좋겠습니다" "엔진 오일 감소 문제를 해결해야 합니다" "미션 반응 속도를 개선해야 합니다" "급가속 시 허당 현상을 개선해야 합니다" "컵홀더 사이즈를 확대하면 좋겠습니다" "가격 경쟁력을 높일 필요가 있습니다" "주행 질감을 개선하면 좋겠습니다" "정숙성을 더욱 높이면 좋겠습니다"
현대 그랜저 IG 하이브리드 2.4 HEV,"주행 시 정숙성이 뛰어납니다" "연비가 매우 좋습니다" "주행 파워가 만족스럽습니다" "주행 안전 보조 장치가 훌륭합니다" "차량 종합보험 가입 시 보험료가 저렴합니다" "부품 교체 비용은 비싸지만 오래 사용할 수 있습니다" "차량 디자인 만족도가 높습니다" "잔고장이 적어 유지보수가 용이합니다" "하이브리드 모델이라 초반 토크가 좋습니다" "가성비가 뛰어나 중고차로 구매하기 좋습니다","부품 가격이 비싼 편입니다" "일정 속도에서 미세한 고주파 소음이 발생할 수 있습니다" "차량 관리를 자주 해야 하는 번거로움이 있습니다" "출발 시 오토미션 2~3단에서 튀는 증상이 나타날 수 있습니다" "문짝에서 소음이 발생할 수 있습니다" "겨울철 트랜스미션 튕김 현상이 발생할 수 있습니다" "어라운드뷰 카메라 선 불량으로 화면에 문제가 생길 수 있습니다" "서스펜션이 다소 딱딱하게 느껴질 수 있습니다" "고전압 장치 부품에서 미세한 소음이 발생할 수 있습니다" "차량 출발 운행 시 미세한 떨림이 느껴질 수 있습니다","부품 가격을 낮춰 유지보수 부담을 줄여야 합니다" "고주파 소음 발생 원인을 찾아 개선해야 합니다" "미션 튕김 현상을 개선하여 변속감을 부드럽게 만들어야 합니다" "문짝 소음 문제를 해결하여 정숙성을 높여야 합니다" "서스펜션 세팅을 개선하여 승차감을 향상시켜야 합니다" "겨울철 트랜스미션 문제를 개선해야 합니다" "어라운드뷰 카메라 품질을 개선해야 합니다" "차량 출발 시 떨림 현상을 개선해야 합니다" "차량 내부 마감 품질을 개선해야 합니다" "하이브리드 시스템의 효율성을 더욱 높여야 합니다"
현대 그랜저 IG 2.5 가솔린,"외관이 고급스럽고 잘 빠졌습니다" "안전성과 주행 성능이 좋습니다" "승차감이 좋습니다" "실내 디자인이 고급스럽고 넓습니다" "가성비가 좋습니다" "전체적으로 만족스럽습니다" "장거리 주행에도 피로감이 적습니다" "그랜저 이름값을 합니다" "소음이 적습니다" "주행성 코너링이 편안합니다","연비가 아쉽습니다" "앞 부분 그릴이 과장되었습니다" "오르막길에 엔진 소음이 발생합니다" "엔진오일 감소 문제가 있습니다" "미션이 굼뜹니다" "급가속 시 엔진 반응이 아쉽습니다" "컵홀더가 너무 작습니다" "휘발유 모델 연비가 좋지 않습니다" "검은색이라 관리가 필요합니다" "가격이 비쌉니다","연비 개선이 필요합니다" "엔진오일 감소 문제 해결이 필요합니다" "미션 응답성 개선이 필요합니다" "그릴 디자인 개선이 필요합니다" "컵홀더 크기 확대가 필요합니다" "엔진 소음 감소가 필요합니다" "급가속 시 엔진 반응 개선이 필요합니다" "안전 점검 회의 시 시공사 사업단 참석이 필요합니다" "엔진 미션 내구성 강화가 필요합니다" "가격 경쟁력 확보가 필요합니다"
현대 그랜저 HG HG240,"오랜 기간 타도 만족스러운 성능과 외관을 자랑합니다" "가성비가 뛰어나다고 생각합니다" "장거리 정속 주행에 적합합니다" "관리가 잘 되어 컨디션이 좋습니다" "승차감이 좋습니다" "빠따감이 좋습니다" "중고 가격이 우수합니다" "디자인이 현역 수준으로 멋집니다" "중후함과 무게감 있는 느낌이 좋습니다" "옵션과 승하차감이 좋습니다","시내 연비가 좋지 않습니다" "겨울철 방지턱 넘을 때 하체 소음이 발생합니다" "센터 스피커에서 잡소리가 발생합니다" "모드 액추에이터 소리가 거슬립니다" "연비가 눈물납니다" "연비가 좋지 않습니다" "연비를 쉴드 칠 수 없습니다" "연비가 낮은 편입니다" "제작자의 스마트키 부품 제공 노력이 부족합니다" "연비가 안 좋습니다","시내 연비 개선이 필요합니다" "하체 소음 문제를 해결해야 합니다" "센터 스피커 잡소리를 개선해야 합니다" "모드 액추에이터 소음을 줄여야 합니다" "스마트키 부품 제공을 확대해야 합니다" "연비 개선을 위한 노력이 필요합니다" "연료 효율성을 높여야 합니다" "실내 정숙성을 더욱 개선해야 합니다" "최신 편의 기능을 추가해야 합니다" "주행 안정성을 더욱 향상시켜야 합니다"
현대 더 럭셔리 그랜저 Q240,"가성비가 매우 뛰어나 경제적인 부담을 덜어줍니다" "정숙성이 뛰어나 편안한 주행 경험을 제공합니다" "유지보수 측면에서 탁월하여 유지 비용이 적게 듭니다" "전체적으로 흠잡을 데 없이 일상적인 운행에 적합합니다" "차량 가격이 비싸지 않아 부담이 적습니다" "잔고장이 없어 오랫동안 안심하고 탈 수 있습니다" "우리나라 도로 환경에 최적화되어 운행하기 좋습니다" "적당한 크기로 운전과 주차가 편리합니다" "실내 공간과 트렁크 공간이 넓어 활용도가 높습니다" "고속도로 연비가 준수하여 장거리 운전에 유리합니다","올드한 느낌이 있어 디자인 선호도가 갈릴 수 있습니다" "주행 중 승차감이 다소 불편하게 느껴질 수 있습니다" "소음이 어느 정도 있어 정숙성을 저해할 수 있습니다" "과거 공인 연비가 실제 연비와 차이가 있을 수 있습니다" "신차종에 비해 안전 보조 장치가 부족할 수 있습니다" "연비가 최신 차량에 비해 떨어지는 편입니다" "엔진 쪽에서 간혹 소음이 발생할 수 있습니다" "겨울철 배터리 문제가 발생할 수 있습니다" "순정 옵션 기능이 다소 미흡하게 느껴질 수 있습니다" "시내 주행 연비가 좋지 않아 연료비 부담이 있을 수 있습니다","최신 디자인 트렌드를 반영하여 외관을 개선해야 합니다" "서스펜션 개선을 통해 승차감을 향상시켜야 합니다" "차체 방음 성능을 강화하여 소음을 줄여야 합니다" "실제 연비와 유사한 공인 연비를 제시해야 합니다" "최신 안전 보조 장치를 추가하여 안전성을 높여야 합니다" "연비 효율성을 높이는 기술 개발이 필요합니다" "엔진 소음 문제를 해결해야 합니다" "겨울철 배터리 성능을 강화해야 합니다" "다양한 순정 옵션 기능을 추가해야 합니다" "실내 인테리어 디자인을 개선하여 고급감을 높여야 합니다"
현대 더 럭셔리 그랜저 Q270,"디자인이 웅장하고 멋있습니다" "승차감이 뛰어나고 편안합니다" "실내 공간이 넓어 거주성이 좋습니다" "트렁크 공간이 넉넉하여 짐을 많이 실을 수 있습니다" "잔고장이 적어 내구성이 좋습니다" "중고로 구매 시 가성비가 매우 좋습니다" "동급 세단 중 연비가 우수합니다" "전체적으로 만족스러운 차량입니다" "오래된 연식에도 불구하고 상태가 좋습니다" "클래식한 멋이 있습니다","시내 연비가 좋지 않습니다" "고유가 시대에 연비가 아쉽습니다" "출력이 아주 좋다고는 할 수 없습니다" "차량에 긁힘이나 찍힘이 있을 수 있습니다" "하부에 녹이 있을 수 있습니다" "고무류 부식이 우려됩니다" "연식이 오래되어 하부에서 소음이 날 수 있습니다" "소모품 교환 주기가 필요합니다" "연비가 아쉬울 수 있습니다" "구형 모델 대비 연비가 나은 편입니다","연비를 개선하면 좋겠습니다" "하부 부식을 방지하는 관리가 필요합니다" "차량 외관 스크래치 관리가 필요합니다" "소모품 교환 주기를 꼼꼼히 관리해야 합니다" "주행 성능을 개선하면 좋겠습니다" "올드카 감성을 즐길수 있는 관리가 필요합니다" "시내 연비 개선이 필요합니다" "차량 하부 소음을 줄이는 개선이 필요합니다" "고무류 부식을 방지하는 관리가 필요합니다" "타이밍 벨트 세트 교체 시기를 고려해야 합니다"
현대 그랜저 뉴 럭셔리 L330,"디자인이 클래식하면서도 주행성능이 매우 좋습니다" "힘이 넘치는 모델이라 운전하는 재미가 있습니다" "브라운 시트와 분리형 뒷좌석은 편안함을 제공합니다" "뒷유리 자동커튼 등 고급 사양이 포함되어 있습니다" "주행 중 외부 소음이 거의 없어 정숙성이 뛰어납니다" "년식에 비해 디자인이나 성능이 전혀 뒤쳐지지 않습니다" "운행시 편안함과 정숙성은 연식에 관계없이 최고입니다" "중고차로 구매시 가성비가 매우 좋습니다" "정비가 편리하고 부품 수급이 용이합니다" "흔히 보이는 차이지만 질리지 않는 디자인이 좋습니다","연비가 매우 낮은 것이 흠입니다" "시내 주행 연비가 좋지 않습니다" "연비를 포기해야 할 부분이 있습니다" "원가 절감형 모델이라 일부 소재가 아쉽습니다" "앞뒤 간격이 넓은 편은 아닙니다" "배기량으로 인해 연비가 낮은 편입니다" "시내 연비가 좋지 않아 부담될 수 있습니다" "연비가 좋지 않아 유지비가 많이 듭니다" "유류비 부담이 있을 수 있습니다" "고속 연비도 기대에 못 미칠 수 있습니다","연비 개선이 필요합니다" "연비 향상을 위한 기술 개발이 필요합니다" "실내 고급 소재 적용을 고려해야 합니다" "뒷좌석 공간 확대를 고려해야 합니다" "최신 편의 기능 추가가 필요합니다" "첨단 운전자 보조 시스템 추가가 필요합니다" "원목 소재를 적용하면 더욱 고급스러울 것입니다" "실내 디자인의 현대적인 개선이 필요합니다" "인포테인먼트 시스템 업그레이드가 필요합니다" "디자인의 부분적인 변화를 통해 신선함을 더할 수 있습니다"
현대 그랜저 TG Q240,"속도감이 좋습니다" "정숙성 역시 좋습니다" "가족을 위한 차로 공간이 충분합니다" "장거리 이동 시 편안합니다" "거주성이 좋은 차입니다" "잔고장이 없습니다" "주행 성능이 좋습니다" "엔진 성능이 좋습니다" "승차감이 만족스럽습니다" "스피커가 훌륭합니다","연비가 좋지 않습니다" "보험료가 비쌉니다" "자동차세가 높습니다" "차체에 비해 출력이 좀 떨어지는 듯합니다" "차 디자인 및 모델이 너무 자주 바뀝니다" "잔존 가치가 급격히 떨어집니다" "시내 주행 연비가 나쁩니다" "240 모델은 출력이 부족하게 느껴집니다" "오래된 차라 어쩔 수 없는 노후화가 있습니다" "최신 트렌드와는 다소 거리가 있습니다","연비 개선이 필요합니다" "출력 향상이 필요합니다" "차량 디자인 변경 주기를 늦춰 잔존 가치 하락을 늦춰야 합니다" "최신 편의 기능 추가를 고려해야 합니다" "연식에 맞는 합리적인 보험료 정책이 필요합니다" "자동차세 인하를 고려해야 합니다" "차량 내장재 고급화를 통해 상품성을 높여야 합니다" "서스펜션 개선으로 승차감을 더욱 향상시켜야 합니다" "정기적인 소프트웨어 업데이트 지원을 통해 차량 관리 편의성을 높여야 합니다" "중고차 시장에서 경쟁력 있는 가격 정책이 필요합니다"
