name,car_type,year,image,price
현대 그랜저,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_156%2Fauto_1717549536109w4xp7_PNG%2F20240605100529_slRrSjgt.png,"3,711~5,241만원"
현대 그랜저 하이브리드,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_120%2Fauto_171754956303237oYf_PNG%2F20240605100555_AebtcNop.png,"4,267~5,332만원"
현대 더 뉴 그랜저 IG,준대형 세단,2022,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_177%2Fauto_1652239087546LAvL2_PNG%2F20220511121759_sjeB82a9.png,"3,392~4,486만원"
현대 더 뉴 그랜저 IG 하이브리드,준대형 세단,2017,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원"
현대 그랜저 IG 하이브리드,준대형 세단,2017,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.p+static.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원"
현대 그랜저 IG,준대형 세단,2022,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_190%2Fauto_16522337997520h52J_PNG%2F20220511104952_pcU0etAp.png,"3,392~4,486만원"
현대 그랜저 HG,준대형 세단,2016,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190829_219%2Fauto_1567042351547iLE90_PNG%2F20190829103229_CtM0H8j5.png,"3,090~4,132만원"
현대 더 럭셔리 그랜저,준대형 세단,2010,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191106_150%2Fauto_1573027209291YSkqL_PNG%2F20191106170007_YozPnoW5.png,"2,713~4,018만원"
현대 그랜저 뉴 럭셔리,준대형 세단,2009,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_24%2Fauto_1721274948889VQB6m_PNG%2F20240718125547_2bKbWVyT.png,"2,643~4,080만원"
현대 그랜저 TG,준대형 세단,2007,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원"
현대 뉴 그랜저 XG,준대형 세단,2004,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원"
