title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
현대 그랜저,8.7,239,9.2,7.6,9.3,8.8,9,8.1
현대 그랜저 하이브리드,8.8,466,9.4,7.1,9.5,8.9,9,9.2
현대 더 뉴 그랜저 IG,8.7,1874,9.1,8.7,9.3,8.8,8.8,7.3
현대 더 뉴 그랜저 IG 하이브리드,9.3,1426,9.4,8.9,9.4,9.1,9.3,9.4
현대 그랜저 IG 하이브리드,9.3,1426,9.4,8.9,9.4,9.1,9.3,9.4
현대 그랜저 IG,8.7,1874,9.1,8.7,9.3,8.8,8.8,7.3
현대 그랜저 HG 하이브리드,,,,,,,,
현대 그랜저 HG,8.6,4199,9,8.7,9,8.7,9.1,7.2
현대 더 럭셔리 그랜저,8.5,201,8.9,8.7,9,8.7,8.9,6.9
현대 그랜저 뉴 럭셔리,8.5,506,9.1,8.7,9,8.8,8.7,6.8
현대 그랜저 TG,8.4,689,9,8.6,8.9,8.7,8.7,6.6
현대 뉴 그랜저 XG,8.4,98,8.9,8.5,8.6,8.9,8.8,6.5
현대 그랜저 XG,8.4,98,8.9,8.5,8.6,8.9,8.8,6.5
현대 뉴 그랜저,8.7,239,9.2,7.6,9.3,8.8,9,8.1
현대 그랜저,8.7,239,9.2,7.6,9.3,8.8,9,8.1
현대 더 뉴 아반떼,,,,,,,,
현대 더 뉴 아반떼 하이브리드,,,,,,,,
현대 아반떼 하이브리드,,,,,,,,
현대 아반떼,,,,,,,,
현대 더 뉴 아반떼 AD,8.8,663,9.1,9.2,8.6,8.8,7.8,9.1
현대 아반떼 AD,8.8,663,9.1,9.2,8.6,8.8,7.8,9.1
현대 더 뉴 아반떼,,,,,,,,
현대 아반떼 쿠페,7.4,11,7.5,8.3,7.2,7.4,6.6,7.3
현대 아반떼 MD,8.4,1111,8.5,8.8,8.3,8.3,8.3,8
현대 아반떼 하이브리드,,,,,,,,
현대 아반떼 HD,8.5,1549,8.7,9.1,8.4,8.7,8,8.1
현대 뉴 아반떼 XD,8.1,207,8.4,8.7,8.1,8.2,7.8,7.4
현대 아반떼 XD,8.1,207,8.4,8.7,8.1,8.2,7.8,7.4
현대 올 뉴 아반떼,,,,,,,,
현대 아반떼,,,,,,,,
현대 싼타페,8.7,196,9.5,8.4,9.6,9.1,8.6,6.7
현대 더 뉴 싼타페,8.7,196,9.5,8.4,9.6,9.1,8.6,6.7
현대 싼타페 TM,8.6,702,9.3,8.3,9.1,8.7,8.6,7.5
현대 싼타페 더 프라임,8.8,1797,9.1,8.8,8.9,8.8,9.1,8.2
현대 싼타페 DM,8.8,1797,9.1,8.8,8.9,8.8,9.1,8.2
현대 싼타페 CM,8.7,980,9,8.7,8.8,8.7,8.6,8.1
현대 싼타페,8.7,196,9.5,8.4,9.6,9.1,8.6,6.7
현대 쏘나타 디 엣지,9.1,185,9.5,8.1,9.4,9.1,9.6,8.6
현대 쏘나타 디 엣지 하이브리드,,,,,,,,
현대 쏘나타 하이브리드,9.2,56,9.5,7.5,9.6,9.6,9.6,9.2
현대 쏘나타,9.1,185,9.5,8.1,9.4,9.1,9.6,8.6
현대 쏘나타 뉴 라이즈 하이브리드,8.6,188,9,8.3,8.9,8.7,7.6,9.1
현대 쏘나타 뉴 라이즈,8.5,933,8.8,8.8,9,8.7,8.1,7.9
현대 LF 쏘나타 하이브리드,9.1,502,9.1,8.9,9.3,8.9,9.3,9.1
현대 LF 쏘나타,8.7,2291,8.8,8.9,9,8.6,8.9,7.9
현대 쏘나타 더 브릴리언트,8.4,631,8.6,8.7,8.5,8.3,8.6,7.6
현대 쏘나타 하이브리드,9.2,56,9.5,7.5,9.6,9.6,9.6,9.2
현대 YF 쏘나타,8.4,631,8.6,8.7,8.5,8.3,8.6,7.6
현대 NF 쏘나타 트랜스폼,,,,,,,,
현대 NF 쏘나타,8.4,652,8.8,8.8,8.7,8.7,8.3,7.2
현대 뉴 EF 쏘나타,8.4,131,8.8,8.5,8.7,8.6,8.7,7.2
현대 EF 쏘나타,7.7,23,8.2,8,7.7,7.1,7.7,7.2
현대 쏘나타 III,,,,,,,,
현대 쏘나타 II,,,,,,,,
현대 쏘나타,9.1,185,9.5,8.1,9.4,9.1,9.6,8.6
현대 더 뉴 투싼,9.2,34,9.5,8.6,9.5,9.4,9.5,8.8
현대 더 뉴 투싼 하이브리드,8.9,113,9.6,7.3,9.3,9.2,9.4,8.8
현대 투싼,9.2,34,9.5,8.6,9.5,9.4,9.5,8.8
현대 투싼 하이브리드,8.9,113,9.6,7.3,9.3,9.2,9.4,8.8
현대 올 뉴 투싼,9.2,34,9.5,8.6,9.5,9.4,9.5,8.8
현대 뉴 투싼 ix,8.6,454,8.9,8.8,8.4,8.6,8.7,8.1
현대 투싼 ix,8.6,454,8.9,8.8,8.4,8.6,8.7,8.1
현대 투싼,9.2,34,9.5,8.6,9.5,9.4,9.5,8.8
현대 팰리세이드,8.9,17,9.7,8,9.3,8.6,9.8,7.8
현대 더 뉴 팰리세이드,8.9,17,9.7,8,9.3,8.6,9.8,7.8
현대 팰리세이드,8.9,17,9.7,8,9.3,8.6,9.8,7.8
현대 더 뉴 그랜드 스타렉스,7.8,240,8.4,7.9,7.8,7.8,8.2,6.4
현대 그랜드 스타렉스,7.8,240,8.4,7.9,7.8,7.8,8.2,6.4
현대 스타렉스 점보,,,,,,,,
현대 스타렉스,7.8,240,8.4,7.9,7.8,7.8,8.2,6.4
현대 스타리아,,,,,,,,
현대 제네시스 DH,8.5,1176,9.2,8.2,9.2,9,9.3,6
현대 더 뉴 제네시스 쿠페,,,,,,,,
현대 제네시스 쿠페,,,,,,,,
현대 제네시스,8.6,152,9.4,7.6,9.3,9.3,9.7,6.2
