manufacturer,model
현대,그랜저
현대,아반떼
현대,싼타페
현대,쏘나타
현대,투싼
현대,팰리세이드
현대,스타렉스
현대,스타리아
현대,제네시스
현대,코나
현대,캐스퍼
현대,에쿠스
현대,아이오닉5
현대,엑센트
현대,베뉴
현대,넥쏘
현대,벨로스터
현대,i30
현대,아이오닉
현대,i40
현대,맥스크루즈
현대,아이오닉6
현대,아슬란
현대,쏠라티
현대,베라크루즈
현대,갤로퍼
현대,테라칸
현대,투스카니
현대,베르나
현대,다이너스티
현대,엑셀
현대,티뷰론
현대,포니
현대,ST1
현대,아토스
현대,엘란트라
현대,트라제 XG
현대,마르샤
현대,산타모
현대,아이오닉9
현대,클릭
현대,스텔라
현대,그라나다
현대,그레이스
현대,라비타
현대,블루온
현대,스쿠프
현대,코티나
현대,프레스토
제네시스,G80
제네시스,GV80
제네시스,G70
제네시스,GV70
제네시스,G90
제네시스,EQ900
제네시스,GV60
기아,카니발
기아,쏘렌토
기아,K5
기아,K7
기아,레이
기아,모닝
기아,스포티지
기아,K3
기아,셀토스
기아,K9
기아,K8
기아,모하비
기아,니로
기아,스팅어
기아,EV6
기아,쏘울
기아,카렌스
기아,프라이드
기아,스토닉
기아,포르테
기아,오피러스
기아,EV9
기아,EV3
기아,로체
기아,포텐샤
기아,엔터프라이즈
기아,엘란
기아,스펙트라
기아,봉고III 미니버스
기아,비스토
기아,크레도스
기아,파크타운
기아,레토나
기아,리갈
기아,세피아
기아,쎄라토
기아,아벨라
기아,옵티마
기아,카스타
기아,콩코드
기아,EV4
기아,X-TREK
기아,델타
기아,록스타
기아,리오
기아,베스타
기아,브리샤
기아,슈마
기아,씨드
기아,캐피탈
기아,타스만
기아,타우너
기아,토픽
기아,텔루라이드
기아,프레지오
기아,피아트132
쉐보레(GM대우),스파크
쉐보레(GM대우),트랙스
쉐보레(GM대우),말리부
쉐보레(GM대우),크루즈
쉐보레(GM대우),올란도
쉐보레(GM대우),트레일블레이저
쉐보레(GM대우),콜로라도
쉐보레(GM대우),캡티바
쉐보레(GM대우),다마스
쉐보레(GM대우),알페온
쉐보레(GM대우),마티즈
쉐보레(GM대우),아베오
쉐보레(GM대우),임팔라
쉐보레(GM대우),트래버스
쉐보레(GM대우),카마로
쉐보레(GM대우),라보
쉐보레(GM대우),이쿼녹스
쉐보레(GM대우),라세티
쉐보레(GM대우),볼트 EV
쉐보레(GM대우),볼트 EUV
