car_title,trim,drive,price,habitability,quality,design,fuel,reply
링컨 MKC,2.0 가솔린 AWD,10,10,8,10,10,7,초보 첫차에겐 좋은 것 같습니다. 4륜구동이고 시야도 suv라 편하고 덜컹 거리는 건 세단이 아니라는 점. 하이브리드 나오면 좋겠네요.
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,8,가성비에 우수한 주행능력입니다.AS도 좋고 전체적으로 만족하고 타고 있습니다.
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,10,"1.연비 : 도삼주행은 대부분 연비가 비슷합니다. 오하려 동승자와 짐이 있을 시 240마력의 강력한 힘이 연비 효율에 최적 임. 2.성능 : 안정장치 및 옵션은 모두 갖춤. AWD 4륜구동, 어댑티브 크루즈컨트롤, 비상시 자동 멈춤, 통풍 열선 전좌석, 메모리시트, 엠비언트라이트, 스킵 풋 트렁크 오픈, 원격시동, 자동주차 등 옵션 보시면 깜놀!! 3. 주행성 : 부드러움 그 자체, 자체 강도나 무게감에 비하면 최고의 퍼포먼싱, 핸들링이 부드러워 여성운전자에게도 최적 4. 유지비 : 정기 소머품 외 잔고장이 거의 없음. 독일 영국 차 등의 전기적 애러로 인한 코드발생이나 밋션 고장이 겅의 없음. 타임밸트 역시 체인방식이라 스트레스가 없음 안전과 기능성, 스케일이 큰 미국감성이 만든 최고의 차를 느껴보세요!"
링컨 MKC,2.0 가솔린 AWD,10,10,7,10,10,5,연비와 좁은 실내 공간 및 트렁크를 빼고는 모두 좋아요~드라이빙 만족도는 가성비 매우 좋습니다.
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,6,주행 안정감 좋고 가속력 우수하며 실내는 정숙합니다외관이 단정하면서 아름답습니다 많이 팔린 차가 아니기 때문에 도로에서 나만의 독특한 멋을 낼 수 있습니다
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,9,10,타고 다니기 편한차에요~
링컨 MKC,2.0 가솔린 AWD,10,10,8,10,10,4,연비가 아쉽고 약간의 변속충격 이 있으며 스타트가 굼뜨는 느낌이 있어요 그외에 전반적으로 다좋음 오디오도 조씀
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,7,연비를 제외한 모든 면에서 만족연비가 조금 낮고 트렁크 넗이가 흡소 한것 말고는 모든면 에서 만족 .편의 시설 및 안전 장치 류 들이 잘 배치되 있어서 사용하기 편리함. 미국차 특유의 자동 조향 장치들이 맘에듬 ...^^
링컨 MKC,2.0 가솔린 AWD,9,9,9,9,10,7,"트렁크가 조금 작아서 캠핑용으로는 아쉬워요. 대신 디자인, 성능, 안정성 등거의 모든 면에서 만족합니다^^"
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,6,출퇴근용으로 혼자나 둘이타기 좋은차...흔하게 볼수없는 뒷태가이쁜차 걍 미국차
링컨 MKC,2.0 가솔린 AWD,9,8,7,9,9,8,동일 가격대 대비 가성비 좋은차!미션에 불만 있는거 빼고는 만족스러운 차!
링컨 MKC,2.0 가솔린 AWD,10,10,10,9,10,1,연비빼고 너무 좋습니다..그리고 실내공간이 좁다는것이 단점이나 차체가 두꺼워 정면 좌우 충돌시 안전하다는것이 최고 장점..~!!
링컨 MKC,2.0 가솔린 AWD,10,4,10,10,10,2,유지비가 부담되는 정도이고 연비는 9km정도입니다.정비비나 부품값도 많이 비싼편이고
링컨 MKC,2.0 가솔린 AWD,8,10,8,6,9,6,차량 품질에 못미치는 서비스센터 어드바이저들의 실력. 사후관리가 엉망이라 품질에서 감점
링컨 MKC,2.0 가솔린 AWD,8,8,8,8,10,6,"전반적으로 차체는 튼튼하고 묵직합니다.가격대비 성능이나 편의성,안전성도 괜찮은 편인것 같고요. 외관 디자인은 무난하나 많은분들이 느끼듯이 올드한 실내 디자인은 좀아쉽고요. 연비역시 좋은편은 아니고요. 전체적으로 가격대비 괜찮다고 생각합니다."
링컨 MKC,2.0 가솔린 AWD,9,7,7,10,10,5,전반적으로 차량은 우수하나 연비에서 아쉽네요.편의사양 기능은 조금만 개선하면 100% 만족할것같아요. 추후 차량 변경시 재 구매의사는 90% 개인의견이고 5년차 차주입니다.
링컨 MKC,2.0 가솔린 AWD,10,10,6,10,10,8,가격대비성능은 최고. 컴팩트SUV라 거주성은 감수.
링컨 MKC,2.0 가솔린 AWD,10,10,10,10,10,8,가성비는 좋아요 ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋ 추천합니다 연비만 좀
링컨 MKC,2.0 가솔린 AWD,8,10,10,10,10,6,"미국차의 투박함을 디자인으로 완벽히 감춤블루투스 연결, USB연결 등 소소한 디테일은 조금 부족 크기는 패밀리카로 타기는 조금 작아서, 노틸러스로 했음 어땠을까라는 생각 함"
링컨 MKC,2.0 가솔린 AWD,9,9,9,9,9,1,연비만 빼면 가격대비 최고 크루즈 기능도 만족 내비게이션은 빼는게 낳을 듯브레이크 정차치 시동 꺼짐 기능 있으면 좋을 듯
링컨 네비게이터,3.5 가솔린 4WD,5,1,5,1,6,3,"네비게이터 가벼운 정면 충돌이후 범퍼 교체비용이 1,000만원 가까이 되었는데 광주 오포센터에서 수리 후에도 이렇게 범퍼 라인도 제대로 못 맞추구 수리 완료라 가져가라하는 포드링컨 서비스에 실망을 금할 수 없네요."
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,6,"주행감, 디자인, 인터페이스, 승차감 모두 완벽 그 자체입니다. 가끔 연비때문에 아차 하지만 이정도 스펙이라면 연비쯤이야 !"
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,4,연비빼고는 모든부분에서 너무 맘에들어요사진상으로 보는거랑 실물이랑 보면 엄청난 차이입니다 실물 장난아닙니다
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,8,2미터 이하 주차장 힘든거 제외하면 이 가격에 성능 디자인 크기 완전 만족합니다.
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,8,"지난 30년간 가까이 국산차 제외하고 수입차는 5억대 이상 슈퍼카 제외하고 다 타봤습니다.최근 2년간 X7 과 레인지로버 보그 운행하다가 자녀들이 다 크는 바람에 더 큰 차량을 알아보다가 미국차를 처음 접하고 구매했으며, 정말 처음 마주하면 너무 커서 사이즈에 압도 당하는 기분이 들고 거의 미니버스에 타는 기분이 듭니다. 사제 에어서스를 장착하고 나서는 거의 90프로 정도 보그 승차감 납니다. 실내 공간감과 여유는 넘치며. 정말 네비게이터는 앞으로 계속 탈 거 같네요 기대는 하지 않았는데 막상 타보니 만족감이 높은 기분입니다. 하차감도 좋네요"
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,8,"4인 패밀리카의 끝판왕이자 제 드림카입니다.연비생각하면서 타는 차는 아닙니다만 정속주행시 연비 10km대는 충분히 나옵니다. 휘발유 넣어도 된다지만 저는 그냥 고급유 넣고 있고 블랙라벨(풀옵션)이라 그런지 미국차의 결함(단차,부품,내부시스템 문제등...)은 발견되지 않네요. 타면서 느끼는건 링컨의 플래그쉽이다보니 독3사와의 경쟁을 위해 온갖 옵션과 편의사양은 다 때려넣은 느낌입니다. 이정도면 벤츠, 비엠은 1억 후반대는 되었을듯 하네요. 주차문제를 운운하는데 그런 좁은곳은 안가면됩니다ㅋㅋ"
링컨 네비게이터,3.5 가솔린 4WD,10,8,10,9,10,7,압도적인 외관!대체로 만족중 단점은 2열콘솔이 차박시 튀어나와있 있어서 짜증남 높이만좀 낮았음 정말좋겠네ㅜㅜ
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,8,"주행성능, 가성비, 거주성, 품질, 디자인 모두 좋아요~연비도 제공된 정보만큼 나오네요^^"
링컨 네비게이터,3.5 가솔린 4WD,9,10,10,10,10,7,"사진은 감흥 없었는데.. 실물보고 덩치에 압도하여 구매했습니다. 전에적으로 만족합니다. 단점 연비, 주차 장점 거주성 품질 실내디자인 등"
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,10,1,연비는 리터당 5키로 정도이며 . 차는.. 왠만한차는 다 재끼는 힘을 가졌으며. 1억 중반가격대로 저렴하여 매우 가성비가 뛰어난차입니다
