car_title,trim,drive,price,habitability,quality,design,fuel,reply
현대 그랜저,2.5 가솔린,9,6,9,9,8,8,현대차는 처음인데 도심형 세단으로 전반적으로 만족하지만 상품성 대비 가격이 좀 과한 것 같습니다.
현대 그랜저,2.5 가솔린,10,6,8,10,10,8,대체로 만족하지만 가격이 많이 올라서 가성비가 좋은차는 아님
현대 그랜저,2.5 가솔린,8,8,7,7,10,10,품질 관리가 잘 안되어있네요5천 넘는차 기능불량 하자도 있고
현대 그랜저,2.5 가솔린,9,7,10,9,10,8,20대후반 내생에 첫 차 어린나이에 g80 가는건 너무 돈낭비인거 같아서 가격 5000 그랜저로 끊었습니다 캘리그라피 +프리뷰 20인치 마차휠까지 넣음 시내주행은 물렁 승차감 좋고 고속도로 올라가면 스포츠모드서스펜션 으로 바꾸면 안전감 있음 2.5도 출력 충분함 190까지 쉽게 올라감 개인적인 취향이지만 디자인 너무 마음에 듭니다 외장 블랙 특히 20인치 마차휠 꼭 캘리그라피 등급 하세요 큰 차를 좋아하는데 이정도 가격에 이정도 공간감인 차 없어요
현대 그랜저,2.5 가솔린,9,10,10,10,10,10,2.5 기준 시내 말고 고속화 도로 타면 연비 13은 뽑음 캘리그래피 기준 실내는 외제차에 비해 고급스럽고 좋음5천만원대 이급은 대안이 없는듯 실내 소재는 완벽 전자제어 서스는 꼭 추천 셋팅 자체가 소프트해서 코너 많은 구간에서는 롤링 발생 전자제어 서스 넣으면 스포츠 모드로 바꾸면 서스펜션 셋팅 딱딱해짐 나름 안정감 있어짐
현대 그랜저,2.5 가솔린,10,10,10,10,10,10,전체적으로 너무 좋아요소음도 많이 잡아주는편이고 운전할때 고속일경우 떨림도 없고 스티어링도 좋아요. 기어도 맘에 들고 전체적으로 모두 좋습니다.
현대 그랜저,2.5 가솔린,10,10,10,10,10,10,시트포지션 빼고 전부매우만족. 괜히 그런져가 아님...가성비의 대형세단을 맛보고싶으면 딱임
현대 그랜저,2.5 가솔린,7,8,8,9,10,10,연비가 생각보다 잘 나옵니다. 디지인이 최고로 맘에 들고요다만 차체가 커서 주차할때 신경 써야 합니다
현대 그랜저,2.5 가솔린,10,8,10,8,8,10,고속도로 시속 100키로 110키로 유지시 연비가 가솔린인데도19키로나온다.좋아요
현대 그랜저,2.5 가솔린,10,10,10,10,10,7,"TM 6.5 년 타다가 넘어왔습니다 전차가 suv 니 승차감,정숙성은 뭐 비교가 안되겠지요 민족도가 높습니다 실,내외 잘뽑았고 다만 컬럼식 기어가 적응이 잘안됩니다"
