title,trim,engine,compressor,exhaust,gas,output,torque,fuel,lengthWidth,weight,shift
현대 그랜저,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.2~11.7km/ℓ,"5,035mm / 1,880mm","1,620~1,655kg",자동8단
현대 그랜저,3.5 가솔린,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9.7~10.4km/ℓ,"5,035mm / 1,880mm","1,695~1,730kg",자동8단
현대 그랜저,3.5 가솔린 AWD,V6,자연흡기,"3,470cc",가솔린,300hp,36.6kg.m,9~9.5km/ℓ,"5,035mm / 1,880mm","1,765~1,800kg",자동8단
현대 그랜저,3.5 LPG,V6,자연흡기,"3,470cc",LPG,240hp,32kg.m,7.8km/ℓ,"5,035mm / 1,880mm","1,715kg",자동8단
현대 그랜저 하이브리드,1.6 HEV,I4,싱글터보,"1,598cc", ,"230hp,180hp","27kg.m,35.7kg.m",15.7~18km/ℓ,"5,035mm / 1,880mm","1,700~1,735kg",자동6단
현대 더 뉴 그랜저 IG,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.1~11.9km/ℓ,"4,990mm / 1,875mm","1,575~1,625kg",자동8단
현대 더 뉴 그랜저 IG,3.3 가솔린,V6,자연흡기,"3,342cc",가솔린,290hp,35kg.m,9.6~9.7km/ℓ,"4,990mm / 1,875mm","1,660~1,670kg",자동8단
현대 더 뉴 그랜저 IG,3.0 LPi,V6,자연흡기,"2,999cc",LPG,235hp,28.6kg.m,7.4~7.5km/ℓ,"4,990mm / 1,875mm","1,640~1,665kg",자동6단
현대 더 뉴 그랜저 IG 하이브리드,2.4 HEV,l4,자연흡기,"2,359cc", ,"200hp,159hp",21kg.m,16.2km/ℓ,"4,930mm / 1,865mm","1,675kg",자동6단
현대 그랜저 IG 하이브리드,2.4 HEV,l4,자연흡기,"2,359cc", ,"200hp,159hp",21kg.m,16.2km/ℓ,"4,930mm / 1,865mm","1,675kg",자동6단
현대 그랜저 IG,2.5 가솔린,I4,자연흡기,"2,497cc",가솔린,198hp,25.3kg.m,11.1~11.9km/ℓ,"4,990mm / 1,875mm","1,575~1,625kg",자동8단
현대 그랜저 IG,3.3 가솔린,V6,자연흡기,"3,342cc",가솔린,290hp,35kg.m,9.6~9.7km/ℓ,"4,990mm / 1,875mm","1,660~1,670kg",자동8단
현대 그랜저 IG,3.0 LPi,V6,자연흡기,"2,999cc",LPG,235hp,28.6kg.m,7.4~7.5km/ℓ,"4,990mm / 1,875mm","1,640~1,665kg",자동6단
현대 그랜저 HG,HG240,I4,자연흡기,"2,359cc",가솔린,190hp,24.6kg.m,10.4~11.3km/ℓ,"4,920mm / 1,860mm","1,575~1,590kg",자동6단
현대 그랜저 HG,HG220,I4,싱글터보,"2,199cc",디젤,202hp,45kg.m,13.8~14km/ℓ,"4,920mm / 1,860mm","1,691~1,700kg",자동6단
현대 그랜저 HG,HG300,V6,자연흡기,"2,999cc",가솔린,270hp,31.6kg.m,10.4km/ℓ,"4,920mm / 1,860mm","1,590kg",자동6단
현대 더 럭셔리 그랜저,Q240,I4,자연흡기,"2,359cc",가솔린,179hp,23.5kg.m,11.3km/ℓ,"4,910mm / 1,850mm","1,565kg",자동6단
현대 뉴 아반떼 XD,디젤 1.5 VGT,1.5 VGT, ,디젤, ,24.5kg.m, ,15.8~18.9km/ℓ,"4,525mm / 1,725mm","1,301~1,312kg",수동
현대 뉴 아반떼 XD,가솔린 1.6 VVT,1.6 VVT, ,가솔린, ,14.8kg.m, ,12.3~14.6km/ℓ,"4,525mm / 1,725mm","1,200~1,220kg",수동
현대 뉴 아반떼 XD,가솔린 2.0 VVT,2.0 VVT, ,가솔린, ,19kg.m, ,10.7~11.8km/ℓ,"4,525mm / 1,725mm","1,250~1,275kg",수동
현대 아반떼 XD,디젤 1.5 VGT,1.5 VGT, ,디젤, ,24.5kg.m, ,15.8~18.9km/ℓ,"4,525mm / 1,725mm","1,301~1,312kg",수동
현대 아반떼 XD,가솔린 1.6 VVT,1.6 VVT, ,가솔린, ,14.8kg.m, ,12.3~14.6km/ℓ,"4,525mm / 1,725mm","1,200~1,220kg",수동
현대 아반떼 XD,가솔린 2.0 VVT,2.0 VVT, ,가솔린, ,19kg.m, ,10.7~11.8km/ℓ,"4,525mm / 1,725mm","1,250~1,275kg",수동
현대 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc", ,"141hp,105hp",15kg.m,19.2~21.1km/ℓ,"4,710mm / 1,825mm","1,355~1,370kg",DCT6단
현대 아반떼 하이브리드,1.6 HEV N라인,I4,자연흡기,"1,580cc", ,"141hp,105hp",15kg.m,19.2km/ℓ,"4,710mm / 1,825mm","1,370kg",DCT6단
현대 아반떼 HD,디젤 1.6 VGT,1.6 VGT, ,디젤, ,26.5kg.m, ,16.5~21km/ℓ,"4,505mm / 1,775mm","1,274~1,280kg",수동5단
현대 아반떼 HD,가솔린 1.6 VVT,1.6 VVT, ,가솔린, ,15.6kg.m, ,13.8~15.8km/ℓ,"4,505mm / 1,775mm","1,173~1,191kg",수동5단
현대 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc ", ,"141hp,105hp ",15kg.m ,19.2~21.1km/ℓ ,"4,710mm / 1,825mm ","1,355~1,370kg ",DCT6단
현대 아반떼 하이브리드,1.6 HEV N라인,,,"1,580cc ", ,"141hp,105hp ",15kg.m ,19.2km/ℓ ,"4,710mm / 1,825mm ","1,370kg ",
현대 아반떼 하이브리드,1.6 HEV,I4,자연흡기,"1,580cc ", ,"141hp,105hp ",15kg.m ,19.2~21.1km/ℓ ,"4,710mm / 1,825mm ","1,355~1,370kg ",DCT6단
현대 아반떼 하이브리드,1.6 HEV N라인,,,"1,580cc ", ,"141hp,105hp ",15kg.m ,19.2km/ℓ ,"4,710mm / 1,825mm ","1,370kg ",
