manufacturer,model,sebumodel
현대,그랜저,그랜저 (GN7) (22년~현재)
현대,그랜저,그랜저 하이브리드 (GN7) (22년~현재)
현대,그랜저,더 뉴 그랜저 IG (19년~22년)
현대,그랜저,더 뉴 그랜저 IG 하이브리드 (19년~22년)
현대,그랜저,그랜저 IG 하이브리드 (17년~19년)
현대,그랜저,그랜저 IG (16년~19년)
현대,그랜저,그랜저 HG 하이브리드 (13년~17년)
현대,그랜저,그랜저 HG (11년~16년)
현대,그랜저,더 럭셔리 그랜저 (09년~11년)
현대,그랜저,그랜저 뉴 럭셔리 (08년~09년)
현대,그랜저,그랜저 TG (05년~08년)
현대,그랜저,뉴 그랜저 XG (02년~05년)
현대,그랜저,그랜저 XG (98년~02년)
현대,그랜저,뉴 그랜저 (92년~98년)
현대,그랜저,그랜저 (86년~92년)
현대,아반떼,더 뉴 i40 (15년~19년)
현대,아반떼,더 뉴 i40 살룬 (15년~19년)
현대,아반떼,i40 살룬 (12년~15년)
현대,아반떼,i40 (11년~15년)
현대,싼타페,ST1 (24년~현재)
현대,쏘나타,갤로퍼 2 (97년~03년)
현대,쏘나타,갤로퍼 (91년~97년)
현대,투싼,그라나다 (78년~85년)
현대,팰리세이드,그랜저 (GN7) (22년~현재)
현대,팰리세이드,그랜저 하이브리드 (GN7) (22년~현재)
현대,팰리세이드,더 뉴 그랜저 IG (19년~22년)
현대,팰리세이드,더 뉴 그랜저 IG 하이브리드 (19년~22년)
현대,팰리세이드,그랜저 IG 하이브리드 (17년~19년)
현대,팰리세이드,그랜저 IG (16년~19년)
현대,팰리세이드,그랜저 HG 하이브리드 (13년~17년)
현대,팰리세이드,그랜저 HG (11년~16년)
현대,팰리세이드,더 럭셔리 그랜저 (09년~11년)
현대,팰리세이드,그랜저 뉴 럭셔리 (08년~09년)
현대,팰리세이드,그랜저 TG (05년~08년)
현대,팰리세이드,뉴 그랜저 XG (02년~05년)
현대,팰리세이드,그랜저 XG (98년~02년)
현대,팰리세이드,뉴 그랜저 (92년~98년)
현대,팰리세이드,그랜저 (86년~92년)
현대,스타렉스,뉴그레이스 (93년~04년)
현대,스타렉스,그레이스 (86년~93년)
현대,스타리아,넥쏘 (18년~현재)
현대,제네시스,다이너스티 (96년~05년)
현대,코나,라비타 (01년~07년)
현대,캐스퍼,마르샤 (95년~98년)
현대,에쿠스,더 뉴 맥스크루즈 (15년~19년)
현대,에쿠스,맥스크루즈 (13년~15년)
현대,아이오닉5,베뉴 (19년~현재)
현대,엑센트,베라크루즈 (06년~15년)
현대,베뉴,베르나 트랜스폼 (09년~10년)
현대,베뉴,베르나(신형) (05년~09년)
현대,베뉴,New 베르나 (02년~05년)
현대,베뉴,베르나 (99년~02년)
현대,넥쏘,벨로스터 (JS) (18년~22년)
현대,넥쏘,더 뉴 벨로스터 (15년~18년)
현대,넥쏘,벨로스터 (11년~14년)
현대,벨로스터,블루온 (10년~11년)
현대,i30,산타모 (95년~02년)
현대,아이오닉,스쿠프 (90년~95년)
현대,i40,더 뉴 그랜드 스타렉스 (17년~21년)
현대,i40,그랜드 스타렉스 (07년~17년)
현대,i40,스타렉스 점보 (97년~07년)
현대,i40,스타렉스 (97년~07년)
현대,맥스크루즈,스타리아 (21년~현재)
현대,아이오닉6,스텔라 (83년~97년)
현대,아슬란,싼타페 (MX5) (23년~현재)
현대,아슬란,더 뉴 싼타페 (20년~23년)
현대,아슬란,싼타페 TM (18년~20년)
현대,아슬란,싼타페 더 프라임 (15년~18년)
현대,아슬란,싼타페 DM (12년~15년)
현대,아슬란,싼타페 CM (05년~12년)
현대,아슬란,싼타페 (00년~05년)
현대,쏠라티,쏘나타 디 엣지(DN8) (23년~현재)
현대,쏠라티,쏘나타 디 엣지 하이브리드(DN8) (23년~현재)
현대,쏠라티,쏘나타 하이브리드 (DN8) (19년~23년)
현대,쏠라티,쏘나타 (DN8) (19년~23년)
현대,쏠라티,쏘나타 뉴 라이즈 하이브리드 (17년~19년)
현대,쏠라티,쏘나타 뉴 라이즈 (17년~19년)
현대,쏠라티,LF 쏘나타 하이브리드 (14년~17년)
현대,쏠라티,LF 쏘나타 (14년~17년)
현대,쏠라티,쏘나타 더 브릴리언트 (12년~14년)
현대,쏠라티,쏘나타 하이브리드 (11년~14년)
현대,쏠라티,YF 쏘나타 (09년~12년)
현대,쏠라티,NF 쏘나타 트랜스폼 (07년~13년)
현대,쏠라티,NF 쏘나타 (04년~07년)
현대,쏠라티,뉴 EF 쏘나타 (01년~06년)
현대,쏠라티,EF 쏘나타 (98년~01년)
현대,쏠라티,쏘나타 III (96년~98년)
현대,쏠라티,쏘나타 II (93년~96년)
현대,쏠라티,쏘나타 (85년~93년)
현대,베라크루즈,쏠라티 (15년~현재)
현대,갤로퍼,더 뉴 아반떼 (CN7) (23년~현재)
현대,갤로퍼,더 뉴 아반떼 하이브리드 (CN7) (23년~현재)
현대,갤로퍼,아반떼 하이브리드 (CN7) (20년~23년)
현대,갤로퍼,아반떼 (CN7) (20년~23년)
현대,갤로퍼,더 뉴 아반떼 AD (18년~20년)
현대,갤로퍼,아반떼 AD (15년~18년)
현대,갤로퍼,더 뉴 아반떼 (13년~15년)
현대,갤로퍼,아반떼 쿠페 (13년~15년)
현대,갤로퍼,아반떼 MD (10년~13년)
현대,갤로퍼,아반떼 하이브리드 (09년~13년)
현대,갤로퍼,아반떼 HD (06년~10년)
현대,갤로퍼,뉴 아반떼 XD (03년~06년)
현대,갤로퍼,아반떼 XD (00년~03년)
현대,갤로퍼,올 뉴 아반떼 (98년~00년)
현대,갤로퍼,아반떼 (95년~98년)
현대,테라칸,아슬란 (14년~18년)
현대,투스카니,더 뉴 아이오닉 일렉트릭 (19년~21년)
현대,투스카니,더 뉴 아이오닉 하이브리드 (19년~21년)
현대,투스카니,아이오닉 일렉트릭 (16년~19년)
현대,투스카니,아이오닉 하이브리드 (16년~19년)
현대,베르나,더 뉴 아이오닉5 (24년~현재)
현대,베르나,아이오닉5 (21년~현재)
현대,다이너스티,아이오닉6 (22년~현재)
현대,엑셀,아이오닉9 (25년~현재)
현대,티뷰론,아토스 (97년~02년)
현대,포니,에쿠스(신형) (09년~15년)
현대,포니,에쿠스 (99년~09년)
현대,ST1,엑센트(신형) (10년~19년)
현대,ST1,뉴 엑센트 (97년~99년)
현대,ST1,엑센트 (94년~97년)
현대,아토스,엑셀 (89년~94년)
현대,엘란트라,뉴엘란트라 (93년~95년)
현대,엘란트라,엘란트라 (90년~93년)
현대,트라제 XG,제네시스 DH (13년~16년)
현대,트라제 XG,더 뉴 제네시스 쿠페 (11년~16년)
현대,트라제 XG,제네시스 쿠페 (08년~11년)
현대,트라제 XG,제네시스 (08년~13년)
현대,마르샤,더 뉴 캐스퍼 (24년~현재)
현대,마르샤,캐스퍼 일렉트릭 (24년~현재)
현대,마르샤,캐스퍼 (21년~24년)
현대,산타모,코나 일렉트릭 (SX2) (23년~현재)
현대,산타모,코나 (SX2) (23년~현재)
현대,산타모,코나 하이브리드 (SX2) (23년~현재)
현대,산타모,더 뉴 코나 (20년~23년)
현대,산타모,더 뉴 코나 하이브리드 (20년~23년)
현대,산타모,코나 하이브리드 (19년~20년)
현대,산타모,코나 일렉트릭 (18년~23년)
현대,산타모,코나 (17년~20년)
현대,아이오닉9,코티나 (68년~83년)
현대,클릭,뉴 클릭 (05년~10년)
현대,클릭,클릭 하이브리드 (04년~06년)
현대,클릭,클릭 (02년~05년)
현대,스텔라,테라칸 (01년~07년)
현대,그라나다,투스카니(신형) (06년~08년)
현대,그라나다,투스카니 (01년~06년)
현대,그레이스,더 뉴 투싼 (NX4) (23년~현재)
현대,그레이스,더 뉴 투싼 하이브리드 (NX4) (23년~현재)
현대,그레이스,투싼 (NX4) (20년~23년)
현대,그레이스,투싼 하이브리드 (NX4) (20년~23년)
현대,그레이스,올 뉴 투싼 (15년~20년)
현대,그레이스,뉴 투싼 ix (13년~15년)
현대,그레이스,투싼 ix (09년~13년)
현대,그레이스,투싼 (04년~09년)
현대,라비타,트라제 XG (99년~07년)
현대,블루온,티뷰론 (96년~01년)
현대,스쿠프,팰리세이드 (LX3) (25년~현재)
현대,스쿠프,더 뉴 팰리세이드 (22년~25년)
현대,스쿠프,팰리세이드 (18년~22년)
현대,코티나,포니투 (82년~90년)
현대,코티나,포니 (75년~82년)
현대,프레스토,프레스토 (85년~86년)
제네시스,G80,일렉트리파이드 G80 (RG3) (21년~현재)
제네시스,G80,G80 (RG3) (20년~현재)
제네시스,G80,G80 (16년~20년)
제네시스,GV80,더 뉴 G70 슈팅브레이크 (22년~현재)
제네시스,GV80,더 뉴 G70 (20년~현재)
제네시스,GV80,G70 (17년~20년)
제네시스,G70,일렉트리파이드 G80 (RG3) (21년~현재)
제네시스,G70,G80 (RG3) (20년~현재)
제네시스,G70,G80 (16년~20년)
제네시스,GV70,G90 (RS4) (21년~현재)
제네시스,GV70,G90 (18년~21년)
제네시스,G90,GV60 (21년~현재)
제네시스,EQ900,일렉트리파이드 GV70 (22년~현재)
제네시스,EQ900,GV70 (21년~현재)
제네시스,GV60,GV80 쿠페 (23년~현재)
제네시스,GV60,GV80 (20년~현재)
기아,카니발,더 뉴 카니발 4세대 (23년~현재)
기아,카니발,카니발 4세대 (20년~23년)
기아,카니발,더 뉴 카니발 (18년~20년)
기아,카니발,올 뉴 카니발 (14년~18년)
기아,카니발,카니발 R (10년~14년)
기아,카니발,뉴카니발 (06년~10년)
기아,카니발,그랜드 카니발 (05년~10년)
기아,카니발,카니발 II (01년~05년)
기아,카니발,카니발 (98년~01년)
기아,쏘렌토,더 뉴 K5 3세대 (23년~현재)
기아,쏘렌토,더 뉴 K5 하이브리드 3세대 (23년~현재)
기아,쏘렌토,K5 3세대 (19년~23년)
기아,쏘렌토,K5 하이브리드 3세대 (19년~23년)
기아,쏘렌토,더 뉴 K5 하이브리드 2세대 (18년~19년)
기아,쏘렌토,더 뉴 K5 2세대 (18년~19년)
기아,쏘렌토,K5 하이브리드 2세대 (15년~18년)
기아,쏘렌토,K5 2세대 (15년~18년)
기아,쏘렌토,더 뉴 K5 (13년~15년)
기아,쏘렌토,K5 하이브리드 (11년~15년)
기아,쏘렌토,K5 (10년~13년)
기아,K5,K7 프리미어 (19년~21년)
기아,K5,K7 프리미어 하이브리드 (19년~21년)
기아,K5,올 뉴 K7 하이브리드 (16년~19년)
기아,K5,올 뉴 K7 (16년~19년)
기아,K5,K7 하이브리드 (13년~16년)
기아,K5,더 뉴 K7 (12년~16년)
기아,K5,더 프레스티지 K7 (11년~12년)
기아,K5,K7 (09년~11년)
기아,K7,더 뉴 K8 (24년~현재)
기아,K7,더 뉴 K8 하이브리드 (24년~현재)
기아,K7,K8 (21년~24년)
기아,K7,K8 하이브리드 (21년~24년)
기아,레이,더 뉴 K9 2세대 (21년~현재)
기아,레이,더 K9 (18년~21년)
기아,레이,더 뉴 K9 (14년~18년)
기아,레이,K9 (12년~14년)
기아,모닝,EV3 (24년~현재)
기아,스포티지,EV4 (25년~현재)
기아,K3,더 뉴 EV6 (24년~현재)
기아,K3,EV6 (21년~24년)
기아,셀토스,EV9 (23년~현재)
기아,K9,X-TREK (03년~06년)
기아,K8,디 올 뉴 니로 EV (22년~현재)
기아,K8,니로 플러스 (22년~현재)
기아,K8,디 올 뉴 니로 (22년~현재)
기아,K8,더 뉴 니로 (19년~22년)
기아,K8,니로 EV (18년~22년)
기아,K8,니로 (16년~19년)
기아,모하비,델타 (94년~99년)
기아,니로,더 뉴 기아 레이 EV (23년~현재)
기아,니로,더 뉴 기아 레이 (22년~현재)
기아,니로,더 뉴 레이 (17년~22년)
기아,니로,레이 (11년~17년)
기아,스팅어,레토나 (98년~03년)
기아,EV6,로체 이노베이션 (08년~10년)
기아,EV6,로체 어드밴스 (07년~08년)
기아,EV6,로체 (05년~07년)
기아,쏘울,록스타 R2 (93년~97년)
기아,쏘울,록스타 (90년~93년)
기아,카렌스,리갈 (02년~05년)
기아,프라이드,리오 (99년~05년)
기아,스토닉,더 뉴 모닝 (JA) (23년~현재)
기아,스토닉,모닝 어반 (JA) (20년~23년)
기아,스토닉,올 뉴 모닝 (JA) (17년~20년)
기아,스토닉,더 뉴 모닝 (15년~17년)
기아,스토닉,올 뉴 모닝 (11년~15년)
기아,스토닉,뉴모닝 (08년~11년)
기아,스토닉,모닝 (04년~08년)
기아,포르테,모하비 더 마스터 (19년~현재)
기아,포르테,더 뉴 모하비 (16년~19년)
기아,포르테,모하비 (07년~16년)
기아,오피러스,하이베스타 (92년~97년)
기아,오피러스,베스타 (86년~97년)
기아,EV9,봉고III 미니버스 (04년~05년)
기아,EV3,브리샤 (74년~82년)
기아,로체,비스토 (99년~04년)
기아,포텐샤,세피아2 (97년~01년)
기아,포텐샤,세피아 (92년~97년)
기아,엔터프라이즈,더 뉴 셀토스 (22년~현재)
기아,엔터프라이즈,셀토스 (19년~22년)
기아,엘란,슈마 (97년~01년)
기아,스펙트라,스토닉 (17년~20년)
기아,봉고III 미니버스,스팅어 마이스터 (20년~현재)
기아,봉고III 미니버스,스팅어 (17년~20년)
기아,비스토,스펙트라 (00년~04년)
기아,크레도스,더 뉴 스포티지 5세대 (24년~현재)
기아,크레도스,더 뉴 스포티지 5세대 하이브리드 (24년~현재)
기아,크레도스,스포티지 5세대 (21년~현재)
기아,크레도스,스포티지 5세대 하이브리드 (21년~24년)
기아,크레도스,스포티지 더 볼드 (18년~21년)
기아,크레도스,스포티지 4세대 (15년~18년)
기아,크레도스,더 뉴 스포티지 R (13년~15년)
기아,크레도스,스포티지 R (10년~13년)
기아,크레도스,New 스포티지 (04년~10년)
기아,크레도스,스포티지 (93년~02년)
기아,파크타운,뉴쎄라토 (06년~08년)
기아,파크타운,쎄라토 (03년~06년)
기아,레토나,더 뉴 쏘렌토 4세대 (23년~현재)
기아,레토나,쏘렌토 4세대 (20년~23년)
기아,레토나,더 뉴 쏘렌토 (17년~20년)
기아,레토나,올 뉴 쏘렌토 (14년~17년)
기아,레토나,뉴 쏘렌토 R (12년~14년)
기아,레토나,쏘렌토 R (09년~12년)
기아,레토나,뉴쏘렌토 (06년~09년)
기아,레토나,쏘렌토 (02년~06년)
기아,리갈,쏘울 부스터 EV (19년~21년)
기아,리갈,쏘울 부스터 (19년~21년)
기아,리갈,더 뉴 쏘울 (16년~19년)
기아,리갈,쏘울 EV (14년~19년)
기아,리갈,올 뉴 쏘울 (13년~16년)
기아,리갈,쏘울 (08년~13년)
기아,세피아,씨드 (06년~현재)
기아,쎄라토,아벨라 (94년~00년)
기아,아벨라,엔터프라이즈 (97년~02년)
기아,옵티마,엘란 (96년~00년)
기아,카스타,오피러스 프리미엄 (09년~11년)
기아,카스타,뉴오피러스 (06년~09년)
기아,카스타,오피러스 (03년~06년)
기아,콩코드,옵티마 (00년~05년)
기아,EV4,더 뉴 카니발 4세대 (23년~현재)
