,name,car_type,year,image,price
0,현대 그랜저,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_85%2Fauto_1717549535525QfFe6_PNG%2F20240605100528_Btxs4Fhr.png,"3,711~5,241만원 구매혜택
정보확인 내용 열고 닫기


보험료계산 광고
정보확인 내용 열고 닫기"
1,현대 그랜저 하이브리드,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_185%2Fauto_1717549561903m14RU_PNG%2F20240605100555_MgmmAvRm.png,"4,267~5,332만원 구매혜택
정보확인 내용 열고 닫기


보험료계산 광고
정보확인 내용 열고 닫기"
2,현대 더 뉴 그랜저 IG,준대형 세단,2022,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_177%2Fauto_1652239087546LAvL2_PNG%2F20220511121759_sjeB82a9.png,"3,392~4,486만원 내차시세"
3,현대 더 뉴 그랜저 IG 하이브리드,준대형 세단,2017,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원 내차시세"
4,현대 그랜저 IG 하이브리드,준대형 세단,2017,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200819_38%2Fauto_15978095284540XMEC_PNG%2F20200819125846_xUu26XaW.png,"3,540~3,970만원 보험료계산 광고
정보확인 내용 열고 닫기"
5,현대 그랜저 IG,준대형 세단,2022,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220511_38%2Fauto_1652233799067CvaJU_PNG%2F20220511104951_8p68XJIS.png,"3,392~4,486만원 보험료계산 광고
정보확인 내용 열고 닫기"
6,현대 그랜저 HG,준대형 세단,2016,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190829_219%2Fauto_1567042351547iLE90_PNG%2F20190829103229_CtM0H8j5.png,"3,090~4,132만원 보험료계산 광고
정보확인 내용 열고 닫기"
7,현대 더 럭셔리 그랜저,준대형 세단,2010,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20191106_150%2Fauto_1573027209291YSkqL_PNG%2F20191106170007_YozPnoW5.png,"2,713~4,018만원 보험료계산 광고
정보확인 내용 열고 닫기"
8,현대 그랜저 뉴 럭셔리,준대형 세단,2009,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_24%2Fauto_1721274948889VQB6m_PNG%2F20240718125547_2bKbWVyT.png,"2,643~4,080만원 보험료계산 광고
정보확인 내용 열고 닫기"
9,현대 그랜저 TG,준대형 세단,2007,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240718_8%2Fauto_1721274926897IDQ4h_PNG%2F20240718125525_J4Zr4nJY.png,"2,513~4,059만원 보험료계산 광고
정보확인 내용 열고 닫기"
10,현대 뉴 그랜저 XG,준대형 세단,2004,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원 보험료계산 광고
정보확인 내용 열고 닫기"
11,현대 그랜저 XG,준대형 세단,2004,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190909_119%2Fauto_1568002038781XDVaJ_PNG%2F20190909130716_ZyUEaPLi.png,"2,116~3,174만원 보험료계산 광고
정보확인 내용 열고 닫기"
12,현대 뉴 그랜저,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_85%2Fauto_1717549535525QfFe6_PNG%2F20240605100528_Btxs4Fhr.png,"3,711~5,241만원 구매혜택
정보확인 내용 열고 닫기


보험료계산 광고
정보확인 내용 열고 닫기"
13,현대 그랜저,준대형 세단,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240605_85%2Fauto_1717549535525QfFe6_PNG%2F20240605100528_Btxs4Fhr.png,"3,711~5,241만원 구매혜택
정보확인 내용 열고 닫기


보험료계산 광고
정보확인 내용 열고 닫기"
14,현대 더 뉴 아반떼,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_104%2Fauto_1744677804680eHyb8_PNG%2F20250415094317_91ZFQmQx.png,"2,034~2,842만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
15,현대 더 뉴 아반떼 하이브리드,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_52%2Fauto_1744677853279Wbvce_PNG%2F20250415094406_KB5BeFh7.png,"2,523~3,184만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
16,현대 아반떼 하이브리드,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_52%2Fauto_1744677853279Wbvce_PNG%2F20250415094406_KB5BeFh7.png,"2,523~3,184만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
17,현대 아반떼,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_104%2Fauto_1744677804680eHyb8_PNG%2F20250415094317_91ZFQmQx.png,"2,034~2,842만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
18,현대 더 뉴 아반떼 AD,준중형 세단,2019,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_253%2Fauto_15595466177611m6U0_PNG%2F20190603162329_TYgT4Bzk.png,"1,376~2,454만원 보험료계산 광고
정보확인 내용 열고 닫기"
19,현대 아반떼 AD,준중형 세단,2019,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190603_253%2Fauto_15595466177611m6U0_PNG%2F20190603162329_TYgT4Bzk.png,"1,376~2,454만원 보험료계산 광고
정보확인 내용 열고 닫기"
20,현대 더 뉴 아반떼,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_104%2Fauto_1744677804680eHyb8_PNG%2F20250415094317_91ZFQmQx.png,"2,034~2,842만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
21,현대 아반떼 쿠페,준중형 쿠페,2015,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_39%2Fauto_1566911774207KFGTc_PNG%2F20190827221611_UDSpVo7a.png,"1,690~2,315만원 보험료계산 광고
정보확인 내용 열고 닫기"
