title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
현대 그랜저,8.7,239명 참여,주행 9.2,가격 7.6,거주성 9.3,품질 8.8,디자인 9,연비 8.1
현대 그랜저 하이브리드,8.8,466명 참여,주행 9.4,가격 7.1,거주성 9.5,품질 8.9,디자인 9,연비 9.2
현대 더 뉴 그랜저 IG,8.7,1874명 참여,주행 9.1,가격 8.7,거주성 9.3,품질 8.8,디자인 8.8,연비 7.3
현대 더 뉴 그랜저 IG 하이브리드,9.3,1425명 참여,주행 9.4,가격 8.9,거주성 9.4,품질 9.1,디자인 9.3,연비 9.4
현대 그랜저 IG 하이브리드,9.3,1425명 참여,주행 9.4,가격 8.9,거주성 9.4,품질 9.1,디자인 9.3,연비 9.4
현대 그랜저 IG,8.7,1874명 참여,주행 9.1,가격 8.7,거주성 9.3,품질 8.8,디자인 8.8,연비 7.3
현대 그랜저 HG 하이브리드,,,,,,,,
현대 그랜저 HG,8.6,4199명 참여,주행 9,가격 8.7,거주성 9,품질 8.7,디자인 9.1,연비 7.2
현대 더 럭셔리 그랜저,8.5,201명 참여,주행 8.9,가격 8.7,거주성 9,품질 8.7,디자인 8.9,연비 6.9
현대 그랜저 뉴 럭셔리,8.5,506명 참여,주행 9.1,가격 8.7,거주성 9,품질 8.8,디자인 8.7,연비 6.8
현대 그랜저 TG,,,,,,,,
현대 뉴 그랜저 XG,,,,,,,,
현대 그랜저 XG,,,,,,,,
현대 뉴 그랜저,,,,,,,,
현대 그랜저,,,,,,,,
현대 더 뉴 아반떼,,,,,,,,
현대 더 뉴 아반떼 하이브리드,,,,,,,,
현대 아반떼 하이브리드,,,,,,,,
현대 아반떼,,,,,,,,
현대 더 뉴 아반떼 AD,,,,,,,,
현대 아반떼 AD,,,,,,,,
현대 더 뉴 아반떼,,,,,,,,
현대 아반떼 쿠페,,,,,,,,
현대 아반떼 MD,,,,,,,,
현대 아반떼 하이브리드,,,,,,,,
현대 아반떼 HD,,,,,,,,
현대 뉴 아반떼 XD,,,,,,,,
현대 아반떼 XD,,,,,,,,
현대 올 뉴 아반떼,,,,,,,,
현대 아반떼,,,,,,,,
현대 싼타페,,,,,,,,
현대 더 뉴 싼타페,,,,,,,,
현대 싼타페 TM,,,,,,,,
현대 싼타페 더 프라임,,,,,,,,
현대 싼타페 DM,,,,,,,,
현대 싼타페 CM,,,,,,,,
현대 싼타페,,,,,,,,
현대 쏘나타 디 엣지,,,,,,,,
현대 쏘나타 디 엣지 하이브리드,,,,,,,,
현대 쏘나타 하이브리드,,,,,,,,
현대 쏘나타,,,,,,,,
현대 쏘나타 뉴 라이즈 하이브리드,,,,,,,,
현대 쏘나타 뉴 라이즈,,,,,,,,
현대 LF 쏘나타 하이브리드,,,,,,,,
현대 LF 쏘나타,,,,,,,,
현대 쏘나타 더 브릴리언트,,,,,,,,
현대 쏘나타 하이브리드,,,,,,,,
현대 YF 쏘나타,,,,,,,,
현대 NF 쏘나타 트랜스폼,,,,,,,,
현대 NF 쏘나타,,,,,,,,
현대 뉴 EF 쏘나타,,,,,,,,
현대 EF 쏘나타,,,,,,,,
현대 쏘나타 III,,,,,,,,
현대 쏘나타 II,,,,,,,,
현대 쏘나타,,,,,,,,
현대 더 뉴 투싼,,,,,,,,
현대 더 뉴 투싼 하이브리드,,,,,,,,
현대 투싼,,,,,,,,
현대 투싼 하이브리드,,,,,,,,
현대 올 뉴 투싼,,,,,,,,
현대 뉴 투싼 ix,,,,,,,,
현대 투싼 ix,,,,,,,,
현대 투싼,,,,,,,,
현대 팰리세이드,,,,,,,,
현대 더 뉴 팰리세이드,,,,,,,,
현대 팰리세이드,,,,,,,,
현대 더 뉴 그랜드 스타렉스,,,,,,,,
현대 그랜드 스타렉스,,,,,,,,
현대 스타렉스 점보,,,,,,,,
현대 스타렉스,,,,,,,,
현대 스타리아,,,,,,,,
현대 제네시스 DH,,,,,,,,
현대 더 뉴 제네시스 쿠페,,,,,,,,
현대 제네시스 쿠페,,,,,,,,
현대 제네시스,,,,,,,,
현대 코나 일렉트릭,,,,,,,,
현대 코나,,,,,,,,
현대 코나 하이브리드,,,,,,,,
현대 더 뉴 코나,,,,,,,,
현대 더 뉴 코나 하이브리드,,,,,,,,
현대 코나 하이브리드,,,,,,,,
현대 코나 일렉트릭,,,,,,,,
현대 코나,,,,,,,,
현대 더 뉴 캐스퍼,,,,,,,,
현대 캐스퍼 일렉트릭,,,,,,,,
현대 캐스퍼,,,,,,,,
현대 에쿠스,,,,,,,,
현대 에쿠스,,,,,,,,
현대 더 뉴 아이오닉5,,,,,,,,
현대 아이오닉5,,,,,,,,
현대 엑센트,,,,,,,,
현대 뉴 엑센트,,,,,,,,
현대 엑센트,,,,,,,,
현대 베뉴,,,,,,,,
현대 벨로스터,,,,,,,,
현대 더 뉴 벨로스터,,,,,,,,
현대 벨로스터,,,,,,,,
현대 넥쏘,,,,,,,,
현대 i30,,,,,,,,
현대 더 뉴 i30,,,,,,,,
현대 i30,,,,,,,,
현대 i30 cw,,,,,,,,
현대 i30,,,,,,,,
현대 더 뉴 아이오닉 일렉트릭,,,,,,,,
현대 더 뉴 아이오닉 하이브리드,,,,,,,,
현대 아이오닉 일렉트릭,,,,,,,,
현대 아이오닉 하이브리드,,,,,,,,
